Time Base:500μs,
Sampling Rate:5.00MSa/s,
Amplitude:2.00V,
Amplitude resolution:80.00mV,
Data Uint:mv,
Data points:64000,
  8.00E+01,8.774999999999999e-05
  0.00E+00,8.7875e-05
  8.00E+01,8.8e-05
  0.00E+00,8.8125e-05
  8.00E+01,8.824999999999999e-05
  0.00E+00,8.8375e-05
  0.00E+00,8.85e-05
  1.60E+02,8.8625e-05
  8.00E+01,8.875e-05
  8.00E+01,8.887499999999999e-05
  8.00E+01,8.9e-05
  0.00E+00,8.9125e-05
  0.00E+00,8.925e-05
  0.00E+00,8.937499999999999e-05
  0.00E+00,8.95e-05
  0.00E+00,8.9625e-05
  0.00E+00,8.975e-05
 -8.00E+01,8.9875e-05
  0.00E+00,8.999999999999999e-05
  0.00E+00,9.0125e-05
  0.00E+00,9.025e-05
  0.00E+00,9.0375e-05
 -8.00E+01,9.049999999999999e-05
  0.00E+00,9.0625e-05
 -8.00E+01,9.075e-05
  0.00E+00,9.0875e-05
 -8.00E+01,9.099999999999999e-05
  8.00E+01,9.112499999999999e-05
  8.00E+01,9.125e-05
  1.60E+02,9.1375e-05
  8.00E+01,9.15e-05
  8.00E+01,9.162499999999999e-05
  8.00E+01,9.175e-05
  8.00E+01,9.1875e-05
  0.00E+00,9.2e-05
  0.00E+00,9.212499999999999e-05
  8.00E+01,9.224999999999999e-05
  0.00E+00,9.2375e-05
  0.00E+00,9.25e-05
 -8.00E+01,9.2625e-05
  0.00E+00,9.274999999999999e-05
  0.00E+00,9.2875e-05
  0.00E+00,9.3e-05
 -8.00E+01,9.3125e-05
 -1.60E+02,9.324999999999999e-05
 -8.00E+01,9.337499999999999e-05
 -8.00E+01,9.35e-05
 -1.60E+02,9.3625e-05
 -8.00E+01,9.375e-05
 -8.00E+01,9.387499999999999e-05
 -8.00E+01,9.4e-05
 -2.40E+02,9.4125e-05
 -1.60E+02,9.425e-05
 -8.00E+01,9.437499999999999e-05
 -8.00E+01,9.449999999999999e-05
 -1.60E+02,9.4625e-05
 -1.60E+02,9.475e-05
 -8.00E+01,9.4875e-05
 -8.00E+01,9.499999999999999e-05
  0.00E+00,9.5125e-05
  0.00E+00,9.525e-05
 -8.00E+01,9.5375e-05
  0.00E+00,9.549999999999999e-05
  0.00E+00,9.5625e-05
 -8.00E+01,9.575e-05
  8.00E+01,9.5875e-05
  0.00E+00,9.6e-05
  0.00E+00,9.612499999999999e-05
  8.00E+01,9.625e-05
  0.00E+00,9.6375e-05
 -8.00E+01,9.65e-05
  0.00E+00,9.662499999999999e-05
  0.00E+00,9.675e-05
  0.00E+00,9.6875e-05
  0.00E+00,9.7e-05
  0.00E+00,9.712499999999999e-05
  0.00E+00,9.724999999999999e-05
  0.00E+00,9.7375e-05
  0.00E+00,9.75e-05
 -8.00E+01,9.7625e-05
  0.00E+00,9.774999999999999e-05
 -8.00E+01,9.7875e-05
 -8.00E+01,9.8e-05
  0.00E+00,9.8125e-05
  0.00E+00,9.824999999999999e-05
 -8.00E+01,9.837499999999999e-05
 -8.00E+01,9.85e-05
 -8.00E+01,9.8625e-05
 -8.00E+01,9.875e-05
  0.00E+00,9.887499999999999e-05
  0.00E+00,9.9e-05
  0.00E+00,9.9125e-05
  0.00E+00,9.925e-05
 -8.00E+01,9.937499999999999e-05
  0.00E+00,9.949999999999999e-05
  0.00E+00,9.9625e-05
